City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Sassandra,CI,79.2,scattered clouds,4.95,-6.0833,la terrasse
Nouakchott,MR,75.2,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
Vao,NC,76.21,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
Ipubi,BR,79.21,broken clouds,-7.6519,-40.1489,Só Love Motel
Muzaffargarh,PK,75.2,smoke,30.0754,71.1921,Aghosh Hotel
Lethem,GY,84.7,overcast clouds,3.3803,-59.7968,Savannah Inn
Bonthe,SL,80.44,clear sky,7.5264,-12.505,Bonthe Holiday Village
Jaciara,BR,84.11,moderate rain,-15.9653,-54.9683,Taba Hotel
Praya,CV,75.2,clear sky,14.9215,-23.5087,LT Aparthotel
Nsawam,GH,84.2,few clouds,5.8089,-0.3503,Duapa Lodge
Veraval,IN,77.95,clear sky,20.9,70.3667,Lords Inn Somnath
Oussouye,SN,82.4,clear sky,12.485,-16.5469,Auberge du Routard
Potiskum,NG,83.07,clear sky,11.7091,11.0694,Tamir Hotel Ltd
Ilesha,NG,76.12,broken clouds,7.1371,5.2583,Tosap Guest House
Thoen,TH,75.99,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
Turbat,PK,79.12,clear sky,26.0023,63.044,Mubashar Quarters
Arraial Do Cabo,BR,78.8,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
Ibra,OM,76.71,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
Road Town,VG,82.4,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
Ambulu,ID,75.02,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
Kathu,TH,87.01,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
Rajula,IN,81.54,clear sky,21.05,71.4333,Lion Lords Inn Rajula
Bujaru,BR,82.4,clear sky,-1.515,-48.0447,Hotel & Restaurante Beira Rio
Karwar,IN,77.11,few clouds,14.8,74.1333,Netalco Connects
Galesong,ID,75.2,light rain,-5.3166,119.3661,Sapriadi Appy
Kibala,TD,86.0,clear sky,9.1104,18.3463,hotel safari
Katobu,ID,76.19,overcast clouds,-4.9408,122.5276,La Ode Husein
Remedios,CU,78.8,broken clouds,22.4947,-79.5458,Hostal Yunai
The Valley,AI,84.2,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
Umm Lajj,SA,77.36,clear sky,25.0213,37.2685,Moon light Furnished Units
Itarema,BR,80.22,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
Crixas,BR,79.95,broken clouds,-14.5489,-49.9692,RISO HOTEL
Odweyne,SO,77.88,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
Vila Do Maio,CV,75.2,clear sky,15.1333,-23.2167,Residence 'I Delfini'
Barra Do Garcas,BR,89.6,broken clouds,-15.89,-52.2567,Hotel Pousada Tropical
Mayumba,GA,79.93,moderate rain,-3.432,10.6554,LIKWALE LODGE
Puerto Maldonado,PE,82.4,few clouds,-12.6,-69.1833,Wasai Hotel
Luanda,AO,75.2,heavy intensity rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
Namatanai,PG,79.36,overcast clouds,-3.6667,152.4333,Namatanai Hotel
Dera Ghazi Khan,PK,77.41,overcast clouds,30.0561,70.6348,Jamia masjid niyazia
Gigmoto,PH,77.94,broken clouds,13.7796,124.39,Cj's Travellers Inn
Labuan,MY,75.2,few clouds,5.2767,115.2417,Tiara Labuan Hotel
Lorengau,PG,79.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
Poso,ID,78.01,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
Nohar,IN,77.97,overcast clouds,29.1833,74.7667,Hotel Eva Inn
Omboue,GA,79.5,light rain,-1.5746,9.2618,Hotel Olako
Sibolga,ID,76.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
