City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2021-04-04 03:59:25,42.6001,-73.9662,35.01,68,74,3.71
1,New Norfolk,AU,2021-04-04 04:03:38,-42.7826,147.0587,68.0,44,66,8.99
2,Rikitea,PF,2021-04-04 04:03:38,-23.1203,-134.9692,78.03,57,28,21.34
3,Tuktoyaktuk,CA,2021-04-04 04:03:39,69.4541,-133.0374,-13.0,77,20,6.91
4,Mataura,NZ,2021-04-04 04:03:39,-46.1927,168.8643,60.01,74,79,23.0
5,Malangali,TZ,2021-04-04 04:03:39,-8.5667,34.85,61.5,95,78,5.99
6,Alice Springs,AU,2021-04-04 04:03:39,-23.7,133.8833,87.01,23,0,10.36
7,Lagoa,PT,2021-04-04 04:03:40,39.05,-27.9833,59.86,88,95,32.3
8,Upernavik,GL,2021-04-04 04:03:40,72.7868,-56.1549,-23.78,92,11,6.6
9,Ushuaia,AR,2021-04-04 04:03:40,-54.8,-68.3,35.6,75,40,4.61
10,Cherskiy,RU,2021-04-04 04:03:41,68.75,161.3,3.72,80,36,2.75
11,Biak,ID,2021-04-04 04:03:41,-0.9131,122.8766,85.3,66,33,0.98
12,Naze,JP,2021-04-04 04:03:41,28.3667,129.4833,71.6,94,75,13.8
13,Vangaindrano,MG,2021-04-04 04:03:42,-23.35,47.6,72.27,87,47,3.8
14,Saint-Philippe,RE,2021-04-04 04:03:42,-21.3585,55.7679,80.6,61,0,5.75
15,Butaritari,KI,2021-04-04 04:03:42,3.0707,172.7902,82.31,78,22,12.82
16,Shitanjing,CN,2021-04-04 04:03:43,39.2342,106.3439,47.48,52,87,11.74
17,Kahului,US,2021-04-04 04:03:43,20.8947,-156.47,73.4,83,40,17.27
18,Karasburg,NA,2021-04-04 04:03:43,-28.0167,18.75,71.42,26,0,6.31
19,Hobart,AU,2021-04-04 04:03:44,-42.8794,147.3294,68.0,32,40,18.41
20,Port Alfred,ZA,2021-04-04 04:03:44,-33.5906,26.891,60.22,80,0,7.58
21,Ayna,PE,2021-04-04 04:03:44,-12.65,-73.9167,56.82,89,95,2.53
22,Poum,NC,2021-04-04 04:03:44,-20.2333,164.0167,80.71,81,98,21.41
23,Tuatapere,NZ,2021-04-04 04:03:45,-46.1333,167.6833,60.01,74,70,23.0
